customer_id,cycle,income,expenses,avg_balance,balance_at_due,installment_amount,on_time,payment_delay,failed_attempts,income_hist_avg,expenses_hist_avg
C00001,0,640.2463698529609,610.1662610122005,301.3510847649734,196.87578989754786,144.5111014002237,True,0,0,656.7357772019122,599.5329764852645
C00001,1,631.0795318285623,587.5011062164999,530.6478873250326,230.48104302945646,144.5111014002237,False,5,0,656.7357772019122,599.5329764852645
C00001,2,669.3838067146169,699.1611570969562,190.36854149414512,331.38417037798433,144.5111014002237,False,1,0,656.7357772019122,599.5329764852645
C00001,3,638.3483423852269,625.0397485972618,301.68851693401496,336.9544754147936,144.5111014002237,True,0,0,656.7357772019122,599.5329764852645
C00001,4,665.2640995101104,675.1106646481841,312.9406263382391,20.96190871475082,144.5111014002237,False,4,0,656.7357772019122,599.5329764852645
C00001,5,665.1579831849352,579.2825233649596,410.6752510484471,337.55856865607456,144.5111014002237,True,0,0,656.7357772019122,599.5329764852645
C00002,0,1049.947450876463,590.3299996702422,671.4742556067616,532.4636961365012,218.11643737024377,True,0,0,1007.6785490306584,578.3342059785876
C00002,1,958.5437510405881,532.1457544026968,460.4211844626834,294.0008122495824,218.11643737024377,True,0,2,1007.6785490306584,578.3342059785876
C00002,2,1024.1991280536126,605.420889632556,234.53586178127944,588.1902881247252,218.11643737024377,True,0,0,1007.6785490306584,578.3342059785876
C00002,3,1065.038404973234,480.3516865421424,809.9676437350097,250.18749753302254,218.11643737024377,True,0,0,1007.6785490306584,578.3342059785876
C00002,4,969.6640466109105,512.6225683171763,719.9917344941857,443.48697393486776,218.11643737024377,True,0,0,1007.6785490306584,578.3342059785876
C00002,5,1019.0413251862594,563.3108491607954,1077.6815091285603,605.2883264404597,218.11643737024377,True,0,0,1007.6785490306584,578.3342059785876
C00003,0,1103.9523122846217,914.9352284225893,767.2021229454226,427.72199968545715,415.5227869665689,True,0,0,1119.6926101191686,937.701275760512
C00003,1,1247.8924183991796,1034.0871941099563,883.984195373108,814.7163028848262,415.5227869665689,True,0,0,1119.6926101191686,937.701275760512
C00003,2,1343.3696406719976,963.037499885579,623.5201546435475,1184.524703800216,415.5227869665689,False,2,0,1119.6926101191686,937.701275760512
C00003,3,756.6498318250797,1085.6643028344909,1396.5876800371561,1028.7946848220183,415.5227869665689,True,0,0,1119.6926101191686,937.701275760512
C00003,4,1042.954835290454,959.3713233435091,1034.457771129614,624.5949163234591,415.5227869665689,False,2,1,1119.6926101191686,937.701275760512
C00003,5,1194.380150277048,1184.0605264722217,1075.4521177818685,551.2262984237143,415.5227869665689,False,12,0,1119.6926101191686,937.701275760512
C00004,0,822.8928986954651,607.8464431786289,287.9813453997809,314.78224528872613,236.45732587887528,False,6,0,852.7068171635451,520.1126767232516
C00004,1,898.3171568421409,434.5253192810261,1467.810709317839,331.0558122230603,236.45732587887528,True,0,0,852.7068171635451,520.1126767232516
C00004,2,859.7784095903012,496.4728454397548,670.8792639133541,665.0746774380573,236.45732587887528,True,0,0,852.7068171635451,520.1126767232516
C00004,3,830.3298268475281,493.41804077868386,706.1448139527672,471.05878348329486,236.45732587887528,False,5,1,852.7068171635451,520.1126767232516
